Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LED_PROJECT_Header.PrjPCB|ReportField=ProjectFullPath~C:\Data\BME590L\Hardware\LED_PROJECT_Header.PrjPCB|ReportField=Title~Bill of Materials For Project [LED_PROJECT_Header.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~8:35:47 PM|ReportField=ReportDate~11/19/2018|ReportField=ReportDateTime~11/19/2018 8:35:47 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~7|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/19/2018|ReportField=CurrentTime~8:35:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Data\BME590L\Hardware\LED_PROJECT.SchDoc|ReportField=DocumentName~LED_PROJECT.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/15/2018|ReportField=Organization~|ReportField=ProjectName~LED_PROJECT_Header.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LED_PROJECT_Header.PrjPCB|ReportField=DataSourceFullPath~C:\Data\BME590L\Hardware\LED_PROJECT_Header.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|ATTINY85-20PU|ATtiny Series 20 MHz 8 KB Flash 512 B SRAM 8-Bit Microcontroller - DIP-8|ATTiny85|DIP254P762X533-8|ATTINY85-20PU|1
2|147694-1|FSM8JRT=SWITCH,PUSHBUTTON,TACT|Button|TE_FSM8JRT|FSM8JRT|1
3|81R0LFJ0511WPN081T|Aluminum Electrolytic Capacitor, 1 uF +/- 5%, 50 V, -40 to 105 degC, 2 Pin THD, Dia 5 mm, Body Length 11 mm, Tape and Reel|ByCap|FHTE-8-0511-2_M|CMP-0909-00001-1|1
4|151053RS03000|THT LED round mono-color waterclear,  WL-TMRW ,Red|LED|Type 5mm|CMP-1489-00007-1|1
5|FMP300FRF73-82K|Metal Film Resistor, 82 KOhm +/-1%, 3 W, -55 to 155 degC, 2-Pin THD, RoHS, Tape and Reel|LEDR|YAGO-FMP300-2_V2|CMP-1257-00001-1|1
6|PHF-102-01-L-S-002|Press Fit Socket, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Female, RoHS|Power|SMTC-PHF-102-01-X-S-002|CMP-1023-00103-1|1
7|L7805ACV|Positive Voltage Regulator, 5V, 3-Pin TO-220|PowerReg|TO220|CMP-0244-00484-1|1
